title,price,pages,reviews,value_per_page,link
CRUCIAL CONVERSATIONS,461.0,304,1688,0.6594360086767896,https://www.amazon.in/dp/9355323352/?coliid=I25IXH9D5XF16V&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Supercommunicators,546.0,320,2215,0.5860805860805861,https://www.amazon.in/dp/1529939607/?coliid=I1QG8GNA3N4TFK&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Six Pillars of Self-Esteem,613.0,368,3180,0.600326264274062,https://www.amazon.in/dp/0553374397/?coliid=I2KB51QOUBIC1O&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Active Listening Techniques:30 Practical Tools to Hone Your Communication Skills,184.0,172,339,0.9347826086956522,https://www.amazon.in/dp/9389995949/?coliid=I1KCZNHR5FDH2S&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Getting to Yes,359.0,240,10435,0.6685236768802229,https://www.amazon.in/dp/1847940935/?coliid=I1CBN7W9F953PF&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Art of Dealing With People,125.0,70,1207,0.56,https://www.amazon.in/dp/8183226744/?coliid=I111HS0WXF8W92&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Atomic Attraction: The Psychology of Attraction,998.0,314,1782,0.31462925851703405,https://www.amazon.in/dp/1999872223/?coliid=ICHB8GEGO7B3F&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
DEFINITIVE BK OF BODY LANGUAGE,1819.0,400,2939,0.2199010445299615,https://www.amazon.in/dp/0553804723/?coliid=I1BBIPSSSWE0WC&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Behave: The bestselling exploration of why humans behave as they do [Paperback] Sapolsky, Robert M",491.0,800,8606,1.629327902240326,https://www.amazon.in/dp/009957506X/?coliid=I1R0C649BUYEG1&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
THE ART OF READING MINDS,454.0,256,336,0.5638766519823789,https://www.amazon.in/dp/1529391075/?coliid=I1DSQAGWKP5S5T&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
